City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hermanus,8,ZA,1551492976,92,-34.42,19.24,64.99,3.04
Albany,90,US,1551493566,63,42.65,-73.75,28.99,4.16
Naze,20,NG,1551488400,94,5.43,7.07,78.8,3.15
Yabrud,20,SY,1551493016,89,33.97,36.66,35.01,1.01
New Norfolk,0,AU,1551493815,12,-42.78,147.06,100.99,16.11
Cagliari,40,IT,1551493802,86,46.38,10.88,39,4.7
Salalah,0,OM,1551491400,78,17.01,54.1,75.2,3.36
Dikson,68,RU,1551493822,80,73.51,80.55,-1.84,18.48
Cayenne,88,GF,1551492000,78,4.94,-52.33,77,4.7
Baykit,44,RU,1551493826,76,61.68,96.39,14.95,2.93
Mar del Plata,20,AR,1551493285,94,-46.43,-67.52,54.69,5.61
Longyearbyen,40,NO,1551491400,65,78.22,15.63,6.8,11.41
Pecos,1,US,1551493328,13,31.42,-103.49,69.01,3.04
Punta Arenas,75,CL,1551492787,93,-53.16,-70.91,48.2,3.36
Vaini,0,IN,1551492000,54,15.34,74.49,59,3.36
Port Alfred,64,ZA,1551493612,83,-33.59,26.89,66.99,1.99
Hendek,0,TR,1551491400,67,40.8,30.75,32,2.24
Rikitea,92,PF,1551493798,100,-23.12,-134.97,78.31,13
Butaritari,76,KI,1551493828,100,3.07,172.79,82.23,13.89
Atuona,0,PF,1551493799,100,-9.8,-139.03,81.01,6.62
Mataura,0,NZ,1551493205,72,-46.19,168.86,61,11.01
Modrica,0,RS,1551492000,75,43.52,21.36,42.8,2.24
Constitucion,5,MX,1551491040,19,23.99,-104.67,71.6,16.11
Kapaa,20,US,1551493405,47,22.08,-159.32,75.2,20.8
Upernavik,36,GL,1551493847,100,72.79,-56.15,2.26,8.63
Rongcheng,0,CN,1551493836,56,37.16,122.42,55,4.16
Jamestown,0,AU,1551493796,23,-33.21,138.6,96.09,9.19
Talnakh,80,RU,1551493848,84,69.49,88.39,11.94,20.27
Bambous Virieux,75,MU,1551493739,83,-20.34,57.76,81,8.05
Barrow,0,AR,1551493797,56,-38.31,-60.23,64.41,21.5
Viedma,56,AR,1551493849,74,-40.81,-62.99,60.09,15.79
Sovetskaya Gavan,32,RU,1551493850,75,48.97,140.29,25.71,3.38
Tuatapere,0,NZ,1551493807,73,-46.13,167.69,61,11.01
Ahipara,12,NZ,1551493850,57,-35.17,173.16,75.57,11.32
Fairbanks,1,US,1551493511,57,64.84,-147.72,32,2.59
Sorland,0,NO,1551493851,100,67.67,12.69,35.65,24.07
Skibotn,0,NO,1551491400,78,69.39,20.27,15.8,9.17
Wembley,92,GB,1551493848,87,51.55,-0.3,48.2,4.7
Tasiilaq,92,GL,1551491400,66,65.61,-37.64,15.8,31.09
Deputatskiy,48,RU,1551493852,75,69.3,139.9,-8.41,3.94
Quelimane,40,MZ,1551488400,94,-17.88,36.89,78.8,3.36
Tiarei,40,PF,1551492783,70,-17.53,-149.33,86,13.87
Tineo,20,ES,1551493851,87,43.34,-6.41,51.01,3.36
Ushuaia,75,AR,1551492000,76,-54.81,-68.31,50,2.82
Evanston,90,US,1551493796,58,42.04,-87.69,30.99,4.7
Yellowknife,40,CA,1551492766,57,62.45,-114.38,-13.01,8.05
Hilo,90,US,1551493853,53,19.71,-155.08,72,13.87
Yulara,0,AU,1551492000,14,-25.24,130.99,98.6,11.41
Narsaq,32,GL,1551491400,29,60.91,-46.05,39.2,11.41
Iqaluit,40,CA,1551492763,69,63.75,-68.52,-9.01,19.46
Road Town,40,VG,1551493335,74,18.42,-64.62,78.8,11.41
Tilichiki,12,RU,1551493855,67,60.47,166.1,1.77,3.71
Karpogory,0,RU,1551493856,53,64,44.44,-0.31,3.15
Ribeira Grande,76,PT,1551493856,92,38.52,-28.7,62.34,22.84
Georgetown,20,GY,1551488400,78,6.8,-58.16,80.6,11.41
Korem,8,ET,1551493857,95,12.51,39.52,50.64,2.15
